concept_id,name,n_tk_forms,n_an_forms,tk_mean_len,an_mean_len,abs_delta_mean_len,an_length_band,sca,ned,sca_hit,ned_hit
dirty,DIRTY,22,80,5.090909090909091,6.525,1.4340909090909095,7,0.4256194513854817,0.6614685819231274,0,0
chew,CHEW,21,80,4.142857142857143,6.2875,2.1446428571428564,6,0.30358621555130927,0.5591836734693877,1,0
needleforsewing,NEEDLE (FOR SEWING),30,80,3.966666666666667,5.45,1.4833333333333334,5,0.3156708944650121,0.6127777777777778,1,0
thousand,THOUSAND,30,80,4.433333333333334,7.95,3.5166666666666666,ge8,0.474443724851441,0.6923112073112073,0,0
fruit,FRUIT,23,80,6.608695652173913,5.4125,1.1961956521739134,5,0.4308865017989809,0.6603456929543886,0,0
hunt,HUNT,35,80,6.257142857142857,6.3625,0.1053571428571427,6,0.4308607809622574,0.6695271441910097,0,0
smellperceive,SMELL (PERCEIVE),22,80,3.727272727272727,5.95,2.222727272727273,6,0.371305007858841,0.6338744588744589,1,0
yawn,YAWN,34,80,6.147058823529412,6.4625,0.3154411764705882,6,0.5107985974410648,0.6484710550887022,0,0
if,IF,30,80,5.166666666666667,4.2125,0.9541666666666666,le4,0.33257683484606565,0.5728968253968254,1,0
thunder,THUNDER,30,80,5.633333333333334,6.5,0.8666666666666663,6,0.41790623621392853,0.6434884559884559,0,0
cooksomething,COOK (SOMETHING),26,80,4.8076923076923075,5.775,0.9673076923076929,6,0.34806605823822456,0.5891941391941392,1,0
shoot,SHOOT,18,80,3.5,5.4875,1.9874999999999998,5,0.21632854263289047,0.6468694885361552,1,0
lightning,LIGHTNING,32,80,6.5625,6.5875,0.025000000000000355,7,0.4002519375463521,0.5693948412698413,0,0
plantsomething,PLANT (SOMETHING),22,80,3.9545454545454546,5.7375,1.7829545454545452,6,0.32230471801770066,0.5277056277056277,1,0
lake,LAKE,20,80,5.25,6.175,0.9249999999999998,6,0.4050709430542207,0.6213690476190477,0,0
fatorganicsubstance,FAT (ORGANIC SUBSTANCE),23,80,4.565217391304348,5.2375,0.6722826086956522,5,0.2757369868098613,0.4977225672877847,1,0
far,FAR,26,80,3.923076923076923,6.0875,2.1644230769230774,6,0.26165011517082526,0.6304029304029304,1,0
in,IN,17,80,4.0588235294117645,6.125,2.0661764705882355,6,0.4860364908304894,0.6586834733893557,0,0
we,WE,26,80,4.076923076923077,5.125,1.0480769230769234,5,0.38220732587596495,0.5460164835164835,1,0
say,SAY,23,80,4.0,5.9125,1.9124999999999996,6,0.3339441811488986,0.6172877846790891,1,0
hide,HIDE,12,80,3.4166666666666665,5.7625,2.3458333333333337,6,0.5012065925527465,0.6482142857142857,0,0
scratch,SCRATCH,10,80,3.8,6.075,2.2750000000000004,6,0.3330559440559441,0.4766666666666667,1,0
at,AT,8,80,3.375,4.0625,0.6875,le4,0.35844017094017094,0.625,1,0
fearbeafraid,FEAR (BE AFRAID),6,80,3.5,6.0625,2.5625,6,0.4804307942769482,0.6257936507936508,0,0
heorshe,HE OR SHE,4,80,3.0,4.45,1.4500000000000002,le4,0.26503496503496504,0.5785714285714285,1,0
branch,BRANCH,11,80,4.0,5.575,1.5750000000000002,6,0.35206611570247937,0.6247835497835498,1,0
burn,BURN,18,80,4.055555555555555,5.7,1.6444444444444448,6,0.4488689657920427,0.6574074074074074,0,0
blowofwind,BLOW (OF WIND),14,80,3.2142857142857144,5.275,2.060714285714286,5,0.19197802197802197,0.5261904761904762,1,0
old,OLD,11,80,3.6363636363636362,6.2625,2.626136363636364,6,0.3644821146219748,0.6439393939393939,1,0
suck,SUCK,18,80,3.7222222222222223,6.45,2.727777777777778,6,0.3694593290949566,0.5997354497354497,1,0
beloworunder,BELOW OR UNDER,22,80,6.363636363636363,5.6375,0.7261363636363631,6,0.3908685618250396,0.6307359307359307,1,0
grow,GROW,21,80,4.333333333333333,5.775,1.4416666666666673,6,0.3910028124572404,0.622235965093108,1,0
twenty,TWENTY,20,80,5.55,8.8,3.250000000000001,ge8,0.5291007862928714,0.7121771284271284,0,0
hold,HOLD,18,80,3.388888888888889,5.875,2.486111111111111,6,0.4335882395912562,0.5882275132275132,0,0
split,SPLIT,17,80,4.470588235294118,6.4,1.9294117647058826,6,0.3507067586489188,0.5898926237161531,1,0
bedeadordie,BE DEAD OR DIE,11,80,3.6363636363636362,5.4375,1.8011363636363638,5,0.3966514060919656,0.5906926406926407,1,0
pound,POUND,22,80,4.454545454545454,6.2375,1.7829545454545457,6,0.3440410960037386,0.5785714285714285,1,0
bealive,BE ALIVE,11,80,3.8181818181818183,5.9,2.081818181818182,6,0.4553885508430963,0.6285714285714286,0,0
hit,HIT,16,80,3.625,5.8125,2.1875,6,0.3827901799055646,0.6331845238095238,1,0
pathorroad,PATH OR ROAD,6,80,4.333333333333333,5.275,0.9416666666666673,5,0.3698491252337406,0.7111111111111111,1,0
worm,WORM,13,80,5.076923076923077,6.725,1.648076923076923,7,0.44096476398095835,0.6436813186813187,0,0
think,THINK,11,80,3.727272727272727,7.775,4.047727272727274,ge8,0.4171914058791887,0.6707792207792208,0,0
