language_id,name,glottocode,clade,glottolog_path,n_forms
abvdoceanic-AreareMaasupaVillage_585,'Are'are (Ma'asupa Village),area1240,oceanic,aust1307/mala1545/east2712/ocea1241/sout2853/mala1485/mala1540/mala1542/sout3198/area1240,180
abvdoceanic-Manihiki_589,Manihiki,raka1237,oceanic,aust1307/mala1545/east2712/ocea1241/cent2060/east2445/poly1242/nucl1485/nort3246/solo1260/cent2298/east2449/east2896/sout3383/raka1237,277
abvdoceanic-Hiw_639,Hiw,hiww1237,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/torr1262/hiwl1234/hiww1237,197
abvdoceanic-ApmaSuruMwerani_641,Apma (Suru Mwerani),apma1240,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/sout3188/apma1240,255
abvdoceanic-Sasoutheasterndialect_643,Sa (south-eastern dialect),saaa1241,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/sout3188/saaa1241,220
abvdoceanic-Sowa_644,Sowa,sowa1244,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/sout3188/seke1242/sowa1244,240
abvdoceanic-SkeSeke_645,Ske (Seke),seke1241,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/sout3188/seke1242/seke1241,214
abvdoceanic-Muyuw_646,Muyuw,muyu1244,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/papu1253/kili1270/kili1266/kili1271/muyu1244,314
abvdoceanic-HaliaSelau_647,Halia (Selau),hali1244,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/neha1246/nucl1750/buka1262/hali1243/hali1244,141
abvdoceanic-Tawala_651,Tawala,tawa1275,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/papu1253/nort2848/aret1241/taup1241/nucl1794/tawa1275,184
abvdoceanic-Niuafoou_659,Niuafo'ou,niua1240,oceanic,aust1307/mala1545/east2712/ocea1241/cent2060/east2445/poly1242/nucl1485/east2758/niua1240,93
abvdoceanic-Nimoa_669,Nimoa,nimo1246,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/papu1253/nimo1245/nimo1246,80
abvdoceanic-Lemerig_696,Lemerig,leme1238,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/torr1262/leme1240/leme1238,169
abvdoceanic-Pingilapese_794,Pingilapese,ping1243,oceanic,aust1307/mala1545/east2712/ocea1241/micr1243/cent2276/west2844/pona1247/pona1248/ping1243,122
abvdoceanic-DaakakaWestAmbrymVanuatu_798,"Daa kaka (West Ambrym, Vanuatu)",daka1243,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/ambr1240/port1292/port1293/sout3403/daka1243,220
